CPU_Mean,PackRecv_Mean,PodsNumber_Mean,StressRate_Mean
13.637442546511,21.2313493000262,11,39
12.9490970512991,19.2777394383086,12,39
11.7535531677622,17.9022387994332,13,39
11.8322506785524,16.600975935723,14,39
12.2583692009871,15.6558841942374,15,39
10.55295275421,14.4524666247033,16,39
10.3202936219295,13.54613195593,17,39
10.008832499765,12.5281012038163,18,39
9.14392054331966,12.4337234306288,19,39
84.4484148160259,230.413644620586,1,39
9.57356952513081,11.8911675482106,20,39
55.8708427860924,113.474270552904,2,39
37.4510802773102,77.7124620958927,3,39
31.5384081952369,58.1892342326798,4,39
24.6668969668374,47.5481113407516,5,39
21.6173255888232,39.3547432978082,6,39
18.3366187982416,32.5258268774968,7,39
17.300360270502,29.1191648768062,8,39
15.2281452606755,25.5598867961098,9,39
14.4233269297744,24.4379047637723,10,41
14.1437291217511,22.1185063328953,11,41
13.315292405897,20.2270552835601,12,41
12.3535506708517,18.4962724056949,13,41
12.0471071985411,17.5787171610645,14,41
11.5770387917694,16.137300486233,15,41
11.5655302934306,15.1441383876085,16,41
10.3320288877296,14.2690452372795,17,41
10.1482624193831,13.7128415573678,18,41
9.84071193147523,12.7591976530064,19,41
82.262867767701,244.75294820577,1,41
9.2906109243879,12.2012900208431,20,41
59.9793611614236,122.41334076477,2,41
40.7151095673485,79.6225036100715,3,41
32.4869335628999,61.219364118615,4,41
26.8509026017263,48.4638264294938,5,41
22.095848962959,39.2067751116418,6,41
18.8878186092632,34.1577015494488,7,41
18.036449340416,30.5516297280498,8,41
16.9042930906679,27.3995656659092,9,41
15.5207000112641,25.4645597411581,10,43
14.6934698168697,22.9765617368969,11,43
14.3418910538031,21.2543626009752,12,43
12.7365068704155,20.0145749879514,13,43
13.2369248439908,18.1540721788188,14,43
11.4462536850717,16.9066206871543,15,43
11.8215841174166,16.0708514827635,16,43
11.3774616534347,14.9010600510587,17,43
10.2915128638362,14.2496413883311,18,43
10.0368072965169,13.490480679614,19,43
83.4496635529865,263.892833799409,1,43
9.7787521348746,13.0433741648788,20,43
60.3148600335222,128.247777744887,2,43
40.7665523330422,84.2638107280932,3,43
33.5647094679695,62.5696255740561,4,43
29.0670780176273,52.1385938449949,5,43
22.9881774536009,42.5700910771453,6,43
19.7206202199055,35.8791678451553,7,43
18.9202822783468,32.5312290914614,8,43
16.7317342276421,28.3368523615683,9,43
15.7885458024689,26.6133941419313,10,45
15.2468253580155,24.2617290956774,11,45
14.3865555611727,22.604106035316,12,45
13.1500031090108,20.411056560966,13,45
15.2279488494872,19.0359695577484,14,45
11.9561433847566,17.74954302014,15,45
11.8137348243547,16.6001308523544,16,45
11.7658885929648,15.5595219506374,17,45
